DateTime,AddedIPs,RemovedIPs
1616077842,512,0
1616106235,0,256
1616160638,1024,0
1616164241,0,256
1616232705,256,0
1616239844,512,0
1616243760,256,0
1616247003,0,256
1616249751,0,256
1616265903,0,256
1616271831,0,256
1616279473,256,256
1616326203,0,512
1616336535,256,256
1616340247,256,0
1616343615,256,0
1616347865,256,0
1616350810,256,0
1616358126,256,0
1616372615,256,0
1616415739,512,0
1616418055,0,512
1616422559,0,256
1616427066,0,256
1616444431,256,0
1616458600,0,256
1616500913,0,768
1616509494,0,512
1616520272,0,256
1616542255,1024,0
1616545883,0,256
1616603434,512,0
1616628643,0,1024
1616645749,256,0
1616678566,512,0
1616688934,0,512
1616764547,0,256
1616765492,1280,0
1616768569,0,256
1616772886,256,0
1616782935,0,256
1617359474,1024,2816
1617373897,1280,0
1617377847,256,0
1617381040,256,0
1617993393,1792,3328
1617994847,256,0
1618081241,1792,512
1618101050,512,0
1618155299,256,1024
1618158809,0,256
1618234432,512,0
1618240534,256,768
1618245410,512,256
1618320336,256,768
1618324751,1024,0
1618325132,0,256
1618338639,256,512
1618351245,256,256
1618410611,256,512
1618426840,0,256
1618459251,1024,512
1618493539,1024,0
1618497045,0,256
1618504347,256,0
1618511599,256,0
1618514752,0,256
1618518881,0,256
1618525848,256,0
1618578954,512,1024
1618582533,768,256
1618590636,0,256
1618597840,0,256
1618599641,0,256
1618604251,0,256
1618612247,0,256
1618632054,0,256
1618669382,256,256
1618676629,0,256
1618684240,256,0
1618713051,256,0
1618755623,0,768
1618759215,256,0
1618799451,0,256
1618837815,256,0
1618842634,256,0
1618849298,256,0
1618871447,256,0
1618875050,256,0
1618922755,0,512
1618932137,256,0
1618935338,0,256
1618935854,256,0
1619013659,0,768
1619018103,512,0
1619020840,256,0
1619022636,0,256
1619029098,0,256
1619050552,0,256
1619100903,512,0
1619103637,0,512
1619109038,256,0
1619118043,256,0
1619128849,256,0
1619186456,0,768
1619187323,1024,0
1619191836,256,0
1619201800,0,256
1619204442,0,256
1619222452,256,0
1619273703,0,1024
1619277395,512,0
1619289042,256,256
1619290841,256,0
1619356533,768,0
1619362836,0,256
1619374761,256,256
1619442953,0,1536
1619450296,1024,0
1619461233,256,0
1619468653,256,0
1619483447,512,0
1619529569,512,0
1619535634,0,256
1619539239,0,256
1619541036,256,0
1619547677,256,256
1619561702,0,256
1619562647,256,0
1619569851,0,256
1619571652,256,0
1619615753,0,768
1619619495,512,0
1619622034,0,256
1619626738,0,256
1619636440,256,0
1619640903,0,256
1619649047,0,256
1619656252,0,256
1619704854,0,1024
1619706006,512,0
1619713294,0,256
1619720598,256,0
1619735448,256,0
1619791257,0,768
1619795749,512,0
1619803961,256,0
1619814039,256,256
1619836253,0,256
1619875003,512,0
1619885855,256,0
1619889342,0,256
1619900516,256,256
1619960458,0,1024
1619968537,768,0
1619973039,256,256
1619982043,256,0
1619985649,0,256
1620047672,1024,0
1620052236,256,0
1620054999,0,768
1620064843,256,0
1620068443,256,0
1620080432,0,256
1620134155,0,768
1620141303,768,0
1620144933,0,256
1620154843,0,512
1620166885,0,256
1620224103,512,0
1620227703,0,512
1620241244,256,0
1620306926,512,0
1620309639,0,512
1620310581,0,256
1620313239,256,0
1620347403,0,256
1620360961,256,0
1620393352,0,768
1620396904,512,0
1620397838,256,0
1620399640,0,256
1620418804,256,0
1620433803,256,0
1620447313,0,256
1620483303,0,512
1620484261,0,256
1620486902,1024,0
1620505096,0,256
1620519353,0,256
1620533755,256,0
1620572457,0,1024
1620573304,256,0
1620574237,256,0
1620655864,512,0
1620659703,0,512
1620663303,0,256
1620674207,256,0
1620738902,768,0
1620742504,0,256
1620757843,256,0
1620759644,256,0
1620825303,0,1024
1620832502,768,0
1620837036,256,0
1620844240,0,256
1620849658,0,256
1620851445,256,0
1620907902,256,0
1620918039,0,512
1620929768,0,256
1620993690,0,512
1621005431,512,0
1621009019,0,256
1621016388,256,0
1621037758,0,256
1621081144,256,0
1621092090,0,512
1621102846,256,0
1621108870,0,256
1621117802,256,0
1621178107,256,0
1621203847,0,256
1621264503,512,256
1621274456,0,256
1621290193,256,0
1621350060,0,512
1621350903,512,0
1621376249,0,256
1621430103,512,0
1621436438,0,512
1621449043,512,256
1621462664,256,0
1621515656,0,512
1621516525,768,0
1621534734,0,256
1621549803,0,256
1621556766,0,256
1621602061,0,512
1621606551,768,0
1621692904,0,256
1621715003,256,0
1621778472,0,768
1621801352,256,0
1621862152,768,0
1621873153,0,256
1621881002,256,0
1621894551,0,256
1621895084,256,0
1621947658,0,512
1621948671,0,256
1621952136,256,0
1621969246,256,0
1621980952,0,256
1622037676,0,512
1622042137,256,0
1622045956,256,0
1622054744,0,256
1622124936,512,0
1622128539,0,256
1622151003,0,256
1622211398,0,256
1622240764,256,0
1622297735,768,0
1622300437,0,256
1622305103,256,0
1622327042,0,256
1622384275,512,768
1622391529,256,256
1622469664,0,512
1622470503,1024,0
1622471434,256,0
1622476852,0,256
1622485248,256,0
1622493002,256,0
1622549779,768,0
1622556046,0,768
1622557005,0,256
1622571498,256,256
1622578889,0,256
1622636153,0,1024
1622733495,256,0
1622759029,256,0
1622819760,0,256
1622902504,768,0
1622905236,256,0
1622906173,0,256
1622908846,0,256
1622917175,256,0
1622919645,256,0
1622988057,0,768
1622991659,0,256
1622996292,768,0
1623002445,0,256
1623025238,256,0
1623071703,768,0
1623081644,0,768
1623093804,256,0
1623097398,256,0
1623111354,0,256
1623158147,0,256
1623165337,256,0
1623169081,0,256
1623176308,0,256
1623178845,0,256
1623187409,256,0
1623190550,0,256
1623248125,256,0
1623251863,0,256
1623256238,256,0
1623284850,0,256
1623334503,0,256
1623338219,256,0
1623342638,256,0
1623349098,256,0
1623370552,0,256
1623417303,512,0
1623424629,0,256
1623428155,0,256
1623429039,256,0
1623436243,256,0
1623456953,0,256
1623503703,0,768
1623510903,768,0
1623524441,256,0
1623532892,0,256
1623537047,256,0
1623540076,256,0
1623597303,0,512
1623615342,0,256
1623625247,0,256
1623679258,0,512
1623680102,512,0
1623695439,256,0
1623716397,0,256
1623762923,256,0
1623766503,0,256
1623788135,0,256
1623789045,256,0
1623795347,0,256
1623866695,256,0
1623875446,0,256
1623889856,256,0
